2026-06-25 23:06:17,054 - INFO - Iniciando fragmentacion de 19 archivos markdown.
2026-06-25 23:06:17,061 - INFO - Fragmentacion exitosa: 15_Cirugia-bariatrica-Opciones-quirurgicas-y-resultados.md (35 padres, 149 hijos)
2026-06-25 23:06:17,063 - INFO - Fragmentacion exitosa: 18_Tecnologias-emergentes-y-medicina-virtual-para-el-tratamiento-de-la-obesidad.md (12 padres, 34 hijos)
2026-06-25 23:06:17,070 - INFO - Fragmentacion exitosa: 11_La-atencion-y-asistencia-primaria-en-el-manejo-de-la-obesidad.md (24 padres, 149 hijos)
2026-06-25 23:06:17,078 - INFO - Fragmentacion exitosa: 06_Evaluacion-del-paciente-que-vive-con-obesidad.md (37 padres, 198 hijos)
2026-06-25 23:06:17,082 - INFO - Fragmentacion exitosa: 09_La-actividad-fisica-en-el-tratamiento-de-la-obesidad.md (17 padres, 105 hijos)
2026-06-25 23:06:17,087 - INFO - Fragmentacion exitosa: 12_Control-del-peso-durante-la-edad-reproductiva-de-las-mujeres-adultas-con-obesidad.md (19 padres, 113 hijos)
2026-06-25 23:06:17,092 - INFO - Fragmentacion exitosa: 07_El-rol-de-la-salud-mental-en-el-tratamiento-de-la-obesidad.md (22 padres, 144 hijos)
2026-06-25 23:06:17,096 - INFO - Fragmentacion exitosa: 14_Cirugia-Bariatrica-Seleccion-y-estudio-preoperatorio.md (21 padres, 100 hijos)
2026-06-25 23:06:17,097 - INFO - Fragmentacion exitosa: articulo.md (20 padres, 38 hijos)
2026-06-25 23:06:17,106 - INFO - Fragmentacion exitosa: 08_Terapia-de-nutricion-medica-de-la-obesidad.md (38 padres, 247 hijos)
2026-06-25 23:06:17,109 - INFO - Fragmentacion exitosa: 03_La-ciencia-de-la-obesidad.md (17 padres, 75 hijos)
2026-06-25 23:06:17,112 - INFO - Fragmentacion exitosa: 05_Facilitar-la-participacion-en-las-actividades-de-la-vida-diaria-de-las-personas-con-obesidad.md (18 padres, 100 hijos)
2026-06-25 23:06:17,114 - INFO - Fragmentacion exitosa: 02_Epidemiologia-de-la-obesidad-en-adultos-en-Chile.md (11 padres, 46 hijos)
2026-06-25 23:06:17,120 - INFO - Fragmentacion exitosa: 10_Intervenciones-psicologicas-y-conductuales-eficaces-en-el-tratamiento-de-la-obesidad.md (28 padres, 163 hijos)
2026-06-25 23:06:17,123 - INFO - Fragmentacion exitosa: 04_Prevencion-y-reduccion-de-danos-de-la-obesidad-en-personas-adultas.md (20 padres, 96 hijos)
2026-06-25 23:06:17,125 - INFO - Fragmentacion exitosa: 17_Productos-y-programas-comerciales-para-el-control-de-la-obesidad.md (20 padres, 38 hijos)
2026-06-25 23:06:17,154 - INFO - Fragmentacion exitosa: 16_Cirugia-bariatrica-Tratamiento-postoperatorio.md (30 padres, 207 hijos)
2026-06-25 23:06:17,157 - INFO - Fragmentacion exitosa: 01_Practicas-y-politicas-para-reducir-los-sesgos-sobre-el-peso-en-el-manejo-de-la-obesidad-1.md (18 padres, 76 hijos)
2026-06-25 23:06:17,162 - INFO - Fragmentacion exitosa: 13_Farmacoterapia-en-el-tratamiento-de-la-obesidad.md (31 padres, 138 hijos)
2026-06-25 23:06:17,162 - INFO - Fragmentacion global completada. Padres: 438 | Hijos: 2216
